'[08:16:10 26/10/1994]',49.000
'[08:16:11 26/10/1994]',49.000
'[08:16:12 26/10/1994]',49.000
'[08:16:13 26/10/1994]',49.000
'[08:16:14 26/10/1994]',49.000
'[08:16:15 26/10/1994]',49.000
'[08:16:16 26/10/1994]',49.000
'[08:16:17 26/10/1994]',50.000
'[08:16:18 26/10/1994]',50.000
'[08:16:19 26/10/1994]',50.000
'[08:16:20 26/10/1994]',50.000
'[08:16:21 26/10/1994]',51.000
'[08:16:22 26/10/1994]',51.000
'[08:16:23 26/10/1994]',51.000
'[08:16:24 26/10/1994]',51.000
'[08:16:25 26/10/1994]',51.000
'[08:16:26 26/10/1994]',51.000
'[08:16:27 26/10/1994]',51.000
'[08:16:28 26/10/1994]',51.000
'[08:16:29 26/10/1994]',51.000
'[08:16:30 26/10/1994]',51.000
'[08:16:31 26/10/1994]',51.000
'[08:16:32 26/10/1994]',51.000
'[08:16:33 26/10/1994]',52.000
'[08:16:34 26/10/1994]',52.000
'[08:16:35 26/10/1994]',52.000
'[08:16:36 26/10/1994]',53.000
'[08:16:37 26/10/1994]',54.000
'[08:16:38 26/10/1994]',55.000
'[08:16:39 26/10/1994]',56.000
'[08:16:40 26/10/1994]',56.000
'[08:16:41 26/10/1994]',56.000
'[08:16:42 26/10/1994]',57.000
'[08:16:43 26/10/1994]',57.000
'[08:16:44 26/10/1994]',56.000
'[08:16:45 26/10/1994]',55.000
'[08:16:46 26/10/1994]',55.000
'[08:16:47 26/10/1994]',55.000
'[08:16:48 26/10/1994]',55.000
'[08:16:49 26/10/1994]',56.000
'[08:16:50 26/10/1994]',56.000
'[08:16:51 26/10/1994]',57.000
'[08:16:53 26/10/1994]',57.000
'[08:16:54 26/10/1994]',58.000
'[08:16:55 26/10/1994]',59.000
'[08:16:56 26/10/1994]',60.000
'[08:16:57 26/10/1994]',60.000
'[08:16:58 26/10/1994]',60.000
'[08:16:59 26/10/1994]',60.000
'[08:17:00 26/10/1994]',62.000
'[08:17:01 26/10/1994]',62.000
'[08:17:02 26/10/1994]',62.000
'[08:17:03 26/10/1994]',62.000
'[08:17:04 26/10/1994]',62.000
'[08:17:05 26/10/1994]',63.000
'[08:17:06 26/10/1994]',64.000
'[08:17:07 26/10/1994]',65.000
'[08:17:08 26/10/1994]',65.000
'[08:17:09 26/10/1994]',64.000
